entity_type	entity_id	place_id	year_start	year_end	reason_predicate_id	stance	path_signature
proposition	final-judgment-is-coming	laodicea	95	95	derived_proposition_presence	affirms	drv-e55994d8cf0bc648
proposition	final-judgment-is-coming	patmos	95	95	derived_proposition_presence	affirms	drv-f8fb39aab2f9aaa0
proposition	final-judgment-is-coming	pergamum	95	95	derived_proposition_presence	affirms	drv-e1fcb5d3c9fd2167
proposition	final-judgment-is-coming	philadelphia-asia	95	95	derived_proposition_presence	affirms	drv-62cedd97a3769033
proposition	final-judgment-is-coming	sardis	95	95	derived_proposition_presence	affirms	drv-508b075df2fbef69
proposition	final-judgment-is-coming	smyrna	95	95	derived_proposition_presence	affirms	drv-359e13935c7eca00
proposition	final-judgment-is-coming	thyatira	95	95	derived_proposition_presence	affirms	drv-4bda7cb0d1b2bec4
person	john-son-of-zebedee	patmos	95	95	active_in		path-5dc0176817ec0b61
group	laodicean-church	laodicea	95	95	group_present_at		path-6d376c0ff1755e1a
group	nicolaitans	ephesus	95	95	group_present_at		path-b07b11994926feaa
group	nicolaitans	pergamum	95	95	group_present_at		path-07873cd15a58cd66
group	pergamum-church	pergamum	95	95	group_present_at		path-af329ac79eb08d2b
group	philadelphia-church	philadelphia-asia	95	95	group_present_at		path-c1d5e05ad0505d2c
work	revelation-of-john	ephesus	95	95	addressed_to_place		path-287ac2a666c9b553
work	revelation-of-john	laodicea	95	95	addressed_to_place		path-29627f75d03d58fc
work	revelation-of-john	patmos	95	95	written_at		path-4e348eab136ac306
work	revelation-of-john	pergamum	95	95	addressed_to_place		path-f8ff0291f843698f
work	revelation-of-john	philadelphia-asia	95	95	addressed_to_place		path-b547193b509a5931
work	revelation-of-john	sardis	95	95	addressed_to_place		path-3d559d18721d350d
work	revelation-of-john	smyrna	95	95	addressed_to_place		path-8c1d8fc6c01b07dc
work	revelation-of-john	thyatira	95	95	addressed_to_place		path-1fa234889fcfd2f3
group	sardis-church	sardis	95	95	group_present_at		path-5b49fc33d68980f3
group	smyrna-church	smyrna	95	95	group_present_at		path-e5d782ef9b47c859
group	thyatira-church	thyatira	95	95	group_present_at		path-59412c95f747debe
