proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
baptism-effects-regeneration	smyrna	110	110	affirms	1	0	edge-06c197c55a8e6802|edge-cca6ed37cdcad855	drv-eb85286427e0469c
bishop-authority-over-eucharist	ephesus	110	110	affirms	1	0	edge-be836c983d3bc415	drv-559c8deeae8cbbcf
bishop-authority-over-eucharist	philadelphia-asia	110	110	affirms	1	0	edge-79e3d1666dd9ce7f	drv-aa776438d1fef2ec
bishop-authority-over-eucharist	rome	110	110	affirms	1	0	edge-eb85f70e197ed9f7	drv-43f64b96d15ce9b7
bishop-authority-over-eucharist	smyrna	110	110	affirms	1	0	edge-d02530c6f999d7f1|edge-d746911d48afcce1	drv-a2dbb26262b1667e
bishop-succession-guarantees-apostolic-faith	ephesus	110	110	affirms	1	0	edge-67c8718824baa100	drv-cd55f9f3cfcda900
bishop-succession-guarantees-apostolic-faith	philadelphia-asia	110	110	affirms	1	0	edge-c7eb50791bc1dcc2	drv-25290410a4fb1044
bishop-succession-guarantees-apostolic-faith	rome	110	110	affirms	1	0	edge-c54da181f477c8d6	drv-8b023fac77696feb
bishop-succession-guarantees-apostolic-faith	smyrna	110	110	affirms	1	0	edge-0a7311c9eaec99f1|edge-40f7364ee18c5105	drv-0d3ee0963b7208da
bishops-govern-local-church	ephesus	110	110	affirms	1	0	edge-ba7caa799f0d1bba	drv-e9ee92584ecc0480
bishops-govern-local-church	philadelphia-asia	110	110	affirms	1	0	edge-2e7aa707b88b364d	drv-ed879aae338a8cac
bishops-govern-local-church	rome	110	110	affirms	1	0	edge-2b4ec9a0b8813303	drv-133b6f717085b8d8
bishops-govern-local-church	smyrna	110	110	affirms	1	0	edge-dd6d4a328701a922|edge-eee93dee6600155a	drv-733b530bf2c05f23
bodies-will-be-raised-at-last-day	ephesus	110	110	affirms	1	0	edge-59d3126ee62f9914	drv-7e1fd4662e514345
bodies-will-be-raised-at-last-day	philadelphia-asia	110	110	affirms	1	0	edge-87cc11c1f9e4c275	drv-1a0b498895ae0f80
bodies-will-be-raised-at-last-day	rome	110	110	affirms	1	0	edge-ebd1e39a5b5d6487	drv-3ef118eaf801a35a
bodies-will-be-raised-at-last-day	smyrna	110	110	affirms	1	0	edge-2d1921ea71ea8b65|edge-a9c9aaedf9f59d23	drv-d2f54b54e1ad92f4
christ-truly-became-flesh	ephesus	110	110	affirms	1	0	edge-356744ca7070f1b7	drv-f3b10aeaf7468af4
christ-truly-became-flesh	philadelphia-asia	110	110	affirms	1	0	edge-5fee795acd2dbeff	drv-290256da873ac253
christ-truly-became-flesh	rome	110	110	affirms	1	0	edge-cbf52092fb3bbf91	drv-a00c374f1c40ff1a
christ-truly-became-flesh	smyrna	110	110	affirms	1	0	edge-cf1b9af6eb857123|edge-cf57db5db4a399ed	drv-b3ef65aae8be8c86
eucharist-is-body-and-blood	ephesus	110	110	affirms	1	0	edge-fb910c3358643cd1	drv-7dc40a8b1884763e
eucharist-is-body-and-blood	philadelphia-asia	110	110	affirms	1	0	edge-1ec2ab195f7e149f	drv-fedd9bc67cc63b71
eucharist-is-body-and-blood	rome	110	110	affirms	1	0	edge-4977c99e7d275c78	drv-62169e67a3fea040
eucharist-is-body-and-blood	smyrna	110	110	affirms	1	0	edge-531d620bb596c844|edge-bd931065dbcffc55	drv-4be8b704b91bc36d
eucharist-is-medicine-of-immortality	ephesus	110	110	affirms	1	0	edge-c93a5c410eca7c0c	drv-39a5cd562838267d
eucharist-is-medicine-of-immortality	philadelphia-asia	110	110	affirms	1	0	edge-618f882872d6a2ee	drv-2a1ac3de39c8b08a
eucharist-is-medicine-of-immortality	rome	110	110	affirms	1	0	edge-0c58328e2e15c2b6	drv-7433c2bda654611a
eucharist-is-medicine-of-immortality	smyrna	110	110	affirms	1	0	edge-270a8f8aa30f97bb|edge-be6530b5285ef60f	drv-07185ea7e4cefac8
fasting-is-required	ephesus	110	110	affirms	1	0	edge-8c69e6e8c3995df4	drv-631455297cb90ce2
fasting-is-required	philadelphia-asia	110	110	affirms	1	0	edge-0bfd8855516a9066	drv-89b3f3746b69965b
